Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Círculo de cadera de pie,re-film,Doblar,Peso corporal,Ninguno,"Erector de la columna, Oblicuos Glúteos, Isquiotibiale",s Transverso cadera movimiento con los circular codos flexionados. de la cadera El movimiento en sentido inicia horario rotando y antihorario en una,,"Direcciones, con una ligera inclinación hacia adelante del pecho a medida que las caderas viajar b",https://www.youtube.com/watch?v=gTnWCdgiAOA
El Sostén Hueco de Pie,re-film,Núcleo,Estabilidad,Ninguno,"Recto Abdominis, Trapecio Deltoides anteriores,",cuádriceps,Sagital,"Luego metiendo la caja torácica hacia la pelvis y la cabeza entre los codos, manteniendo la tensión en el core durante el tiempo prescrito.",https://www.youtube.com/watch?v=1mb6izZ87qI
Remo isométrico de pie con banda,hecho,Jalar,Carga externa,Banda,"Dorsal ancho, bíceps Trapecio,",romboides,Sagital,Con agarre neutro en la banda de simetría.,https://www.youtube.com/watch?v=sv1Fn1EmH7o
Pallof Press de pie con kettlebell por el asa,hecho,Empujar,Carga externa,Kettlebell,"Deltoides anteriores, pectorales, tríceps Bíceps,",glúteos,Sagital,Centro del cuerpo.,https://www.youtube.com/watch?v=HLDEYD3lrls
Remo bajo de pie con cable,hecho,Jalar,Carga externa,Cable,"Dorsal ancho, bíceps Erectores espinales, glúteos",,Sagital,Agarre neutro en el accesorio en V.,https://www.youtube.com/watch?v=ZOh4b1UOf
Marcha de pie,hecho,Una pierna,Estabilidad,Ninguno,"Flexores de cadera, glúteos Isquiotibiales,","Espinales cuádriceps, erectores",Sagital,"Flexionada aproximadamente a 90 grados, luego",https://www.youtube.com/watch?v=Dcmgt-nrnAk
Pallof Press de pie regrabar,,Empujar,Carga externa,Banda,"Tríceps, Mayor deltoides anteriores, pectoral Recto abdominal,",glúteos,Sagital,"Los codos, presionando la banda frente al cuerpo, estabilizándose en el cent",https://www.youtube.com/watch?v=6d0JoQvG-OU
Inclinación Pélvica de Pie,re-film,Núcleo,Estabilidad,Ninguno,"Psoas, iliopsoas Hip Flexors, Erecto","r Spinae, Cuádriceps",Sagital,"Inicia al rodar las caderas hacia adelante, extendiéndose en la región lumbar, viniendo Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=B11wlDmmnxw
Standing Pigeon,hecho,Una pierna,Estabilidad,Caja,"Plyo Glúteos, Erector de la Espina Cuádriceps,",Isquiotibiales,Múltiple,"Rodilla de la pierna única, rotando el tobillo hacia adentro y hacia arriba, reposando el exterior de la pierna",https://www.youtube.com/watch?v=0sQCxJONsvg
Standing Pigeon,hecho,Una pierna,Estabilidad,Caja,"Plyo Glúteos, Erector de la Espina Cuádriceps","Isquiotibiales Múltiple a un lado. El movimiento se inicia elevando y flexionando la cadera https://www.youtube.com/watch?v=0sQCxJONsvg y la rodilla de la pierna única, rotando el tobillo hacia adentro y hacia arriba, reposando el exterior de la pierna Standing Pike Static Hold comienza de pie alto con los pies debajo las caderas, peso en el mediopié y ambos brazos hacia abajo a un lado. El Padraguard refilm Doblar Estabilidad Ninguno Isquiotibiales, Erector de la Espina Gemelos",Sagital,"Alcanzando el pecho a las rodillas y las manos al piso, justo fuera de el pie, con los codos rectos, colocando las palmas en el suelo, w",https://www.youtube.com/watch?v=FMRHzptwyM4
Standing Pike Stretch Toes Heels,hecho,Doblar,Peso corporal,Ninguno,"Isquiotibiales, Gemelos Glúteos",Glutes,Sagital,"Pecho y las manos al piso, justo fuera y delante del pie, con el/la",https://www.youtube.com/watch?v=fITNHCi8pt4
Standing Pike Stretch Toes Heels,hecho,Doblar,Peso corporal,Ninguno,Isquiotibiales,"Gemelos Glúteos Sagital al de lado. los pies, El flexionando movimiento la cadera, inicia con extendiendo flexión suave los de tobillos las rodillas, hacia alcanzando la bola https://www.youtube.com/watch?v=fITNHCi8pt4 el pecho y las manos al piso, justo fuera y delante del pie, con el/la Standing Reverse Grip Cable Tricep Extension comienza de pie alto mirando hacia la máquina de cables, con los pies debajo de las caderas, peso en Extensión de tríceps con agarre inverso en cablerefilm Empujar Carga externa Cable Tríceps Trapecio, Latísimo del dorso",Sagital,"Cadera, con la mano sosteniendo el asa del cable frente al cuerpo, en un agarre supino y Curl de bíceps con cuerda en máquina de cable es un movimiento de tracción Curl de bíceps con cuerda",https://www.youtube.com/watch?v=nXjMCrdYVro
Press Francés con cuerda de pie,hecho,Empujar,Carga externa,Cable,"Tríceps, Serrato Deltoides anteriores",Anterior Deltoids,Sagital,"Agarre, detrás de la cabeza, con los codos altos y la cuerda configurada en la posición baja configuración.",https://www.youtube.com/watch?v=iSC42Fn4VT0
Extensión de tríceps con cuerda de pie,re-film,Empujar,Carga externa,Cable,"Tríceps Trapecio,",Deltoides,Sagital,"Las manos sosteniendo el accesorio de la cuerda frente al cuerpo, en una agarre neutro.",https://www.youtube.com/watch?v=z7gqbcjkzU0
Standing Shoulder External Rotation AAROM with Dowel,hecho,Jalar,Estabilidad,Tubo,"de PVC Deltoides anteriores, Pectorales Bíceps de pie","con los pies debajo de las caderas, peso en los talones, Transverso codos flexionados a 90 grados, pegados al costado, y sosteniendo un",,Tope en un agarre mixto (uno por debajo y otro por encima) a,https://www.youtube.com/watch?v=8hFpttM00B8
Estiramiento de rotación interna del hombro con toalla,hecho,Empujar,Estabilidad,Toalla,"Teres menor, Subescapular Infraespinoso, Supraespinoso de pie, con los pies debajo de las caderas","peso en los talones y aBtuicseps, Deltoides anteriores, Pecs Transverso ambas manos detrás del cuerpo en una posición alta-baja, arriba-abajo,",,"Sosteniendo una toalla. La mano superior está justo detrás de la cabeza, sosteniendo la",https://www.youtube.com/watch?v=EbXSRBEFYp4
Curl de bícep abducto de un solo brazo,hecho,Jalar,Carga externa,Cable,"Bíceps Glúteo máximo, Aductores",,Sagital,FmEY4S\_s (abducto) sosteniendo el asa de la cuerda con un agarre por debajo y la,https://www.youtube.com/watch?v=c
Press Arnold de un solo brazo,hecho,Empujar,Carga externa,Pesa,"(mancuerna) Deltoides anteriores, Tríceps Recto Abdominal, Oblicuo",s Sagital el otro cargado con una mancuerna en la posición de rack,Frontal,Agarre supinado (muñeca mirando hacia dentro).,https://www.youtube.com/watch?v=THNyH2E9mDI
Curl de Bíceps con Cable de un solo brazo,re-film,Jalar,Carga externa,Cable,"Bíceps, Braquial Trapecio,",Deltoides,Sagital,Agarre en pronación en la configuración baja.,https://www.youtube.com/watch?v=Q-wMUbwAkNc
Fly con Cable de un solo brazo,hecho,Jalar,Carga externa,Cable,"Pectorales, Deltoides anteriores, Bíceps Dorsal Transverso Ancho, Abdominal Serrato, la máquina de cables, con la pierna interior del brazo que trabaja, detrás de la Transverso cadera con el peso en el medio hasta la punta del pie, y el",,,LLTE pierna externa delante de la cadera con el peso en medio pie hasta,https://www.youtube.com/watch?v=r0o54R
Press de Cable de un Solo Brazo,hecho,Empujar,Carga externa,Cable,"Pectorales, Deltoides anteriores, Tríceps Serrato, Transverso Abdominal",,Sagital,DhQQ pierna externa delante de la cadera con el peso en medio del pie para,https://www.youtube.com/watch?v=w6dObU
Fila de Cable de un Solo Brazo,hecho,Jalar,Carga externa,Cable,"Dorsal ancho, Bíceps Glúteo Mayor,",Isquiotibiales,Frontal,"Frente del cuerpo, sosteniendo la asa de cable con un agarre neutral, en extensión, y el otro ar",https://www.youtube.com/watch?v=36woeKuHAVk
Levantamiento de pantorrilla con una pierna y mancuerna,hecho,Empujar,Carga externa,Mancuerna,"Gastrocnemio, sóleo Isquiotibiales,",glúteos,Sagital,"Brazo que sostiene el soporte para apoyo y brazo externo hacia abajo a un lado,",https://www.youtube.com/watch?v=Bm4gNwc0YjY
Lanzamiento de balón medicinal en postura de zancada de pie,hecho,Núcleo,Carga externa,Balón medicinal,"Transverso Deltoides anteriores del abdomen, Serrato, Bíceps, glúteos posición escalonada, junto a una pared, con el pie interior delante de Transverso la cadera, peso en el medio del pie, pie exterior detrás de la cadera,",,,"Peso en la bola y ambas manos sosteniendo un balón medicinal, junto al cuerpo, centro del cuerpo, con el elb Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=ND0
Press Pallof en posición dividida de pie,hecho,Empuje,Carga externa,Polea,"Pectorales, deltoides anteriores, tríceps","Transverse Abdominis, Biceps, Glutes",Transversal,"Glúteos el mediopié, y ambas manos firmes al centro del cuerpo, sosteniendo",https://www.youtube.com/watch?v=lqn8Z329Rko
Press Pallof en posición dividida de pie,hecho,Empuje,Carga externa,Polea,"Pectorales, deltoides anteriores","tríceps Transversal de la cadera, peso en la punta, pie externo delante de la cadera, peso en https://www.youtube.com/watch?v=lqn8Z329Rko Glúteos el mediopié, y ambas manos firmes al centro del cuerpo, sosteniendo la empuñadura de la polea en posición neutral El estiramiento de piernas abiertas de pie comienza de pie con los pies separados, fuera de los hombros, peso en el talón al mediopié y ambos brazos extendidos al frente del cuerpo. El movimiento inicia flexionando las caderas, Estiramiento de piernas abiertas de pie regrabar Flexión Estabilidad Ninguno Isquiotibiales, aductores Gemelos, erectores espinales, cuádriceps",Sagital,"Llevando el pecho al suelo, terminando aproximadamente paralelo a",https://www.youtube.com/watch?v=vWw2ISphDP4
Crunch de pie con barra recta en polea,hecho,Núcleo,Carga externa,Polea,"Recto abdominal Cuádriceps,",glúteos,Sagital,"Frente al pecho, aproximadamente a la altura de la clavícula, en un agarre supino, sujeto a la",https://www.youtube.com/watch?v=gl22qCqz4lo
Extensión terminal de rodilla de pie,hecho,Pierna única,Estabilidad,Banda,"Isquiotibiales, cuádriceps Glúteos",Glutes,Sagital,"Las caderas, peso en el talón.",https://www.youtube.com/watch?v=j6s9FIGWOPE
Extensión torácica de pie,hecho,Núcleo,Estabilidad,Ninguno,"Erectores espinales, flexores de cadera Glúteos",,Sagital,"IcazDG7Y el movimiento comienza extendiendo a través de la parte superior de la espalda, alcanzando el",https://www.youtube.com/watch?v=uI
Colgar Pike con peso de pie,hecho,Doblar,Carga externa,Pesa rusa,"Isquiotibiales, Erector de la columna Gastrocnemio, Rect",o Abdominal,Sagital,"Movimiento se inicia flexionando las caderas y alcanzando la pesa rusa al suelo, justo más allá de t",https://www.youtube.com/watch?v=7r46yutO3ns
Colgar Pike con peso de pie,hecho,Doblar,Carga externa,Pesa rusa,"Isquiotibiales, Erector de la columna Gastrocnemio, Recto Abdominal Sagital manos sosteniendo una pesa rusa delante del cuerpo","con brazos largos. El https://www.youtube.com/watch?v=7r46yutO3ns el movimiento se inicia flexionando las caderas y alcanzando la pesa rusa al suelo, justo más allá de t Star Plank comienza de lado, con el brazo inferior en extensión, palma plano contra el suelo, ambas piernas rectas y pie superior apilado encima del Tríceps, Cuádriceps, Anterior Star Plank resfílmar Núcleo Peso corporal Ninguno Glúteos, Recto Abdominal",Frontal,"Deltoides techo, perpendicular al cuerpo, y levantando la pierna superior alejándose de",https://www.youtube.com/watch?v=WL6N6U3UNfc
Star Plank Hip Tap,hecho,Núcleo,Peso corporal,Ninguno,"Oblicuos, Glúteos Serratos",Serratus,Frontal,Parte superior de la parte inferior.,https://www.youtube.com/watch?v=tZmm3TzLris
Star Plank Hip Tap,hecho,Núcleo,Peso corporal,Ninguno,"Oblicuos, Glúteos Serratos Frontal https://www.youtube.com/watch?v=tZmm3TzLris parte superior de la parte inferior. El movimiento inicia levantando la pierna superior hacia del cuerpo, manteniendo la rodilla recta","manteniendo el puente lateral, luego bajo Starfish comienza de lado, con el brazo inferior en extensión, palma plana hacia el suelo, ambas piernas rectas y el pie superior apilado encima del Tríceps, Cuádriceps, Anterior abajo. El movimiento inicia al alcanzar la mano superior hacia el Estrella de mar resfílmar Núcleo Peso corporal Ninguno Glúteos, Recto Abdominal",Frontal,"Deltoides techo, perpendicular al cuerpo, y levantando la pierna superior alejándose de el cuerpo, manteniendo la rodilla recta, creando lo que parece una estrella shap",https://www.youtube.com/watch?v=nSUBKwg7XIs
Espalda estática,hecho,Doblar,Estabilidad,Caja,"de plyo Flexores de la cadera, Erector de la columna Glúteos",Glutes,Sagital,"Inicia con respiración abdominal en la posición estática, inhalando a través de la nariz, expandiendo el estómago, ex",https://www.youtube.com/watch?v=LE4QHouNkNI
El Sostén Pistola Estática,hecho,Una pierna,Peso corporal,Ninguno,"Cuádriceps, Glúteos Flexores de cadera",Hip Flexors,Sagital,"Suelo, manteniendo el peso en la mitad del pie opuesto, flexionando en la rodilla y sentando las caderas st",https://www.youtube.com/watch?v=BOqV735gkBc
"Flexión de hombro sentada estática con peso Deltoides anteriores, Tríceps",re-film,Empujar,Carga externa,Barra,Escápulas,Scapulars,Sagital,Barra Trapecio las manos justo fuera de los hombros.,https://www.youtube.com/watch?v=ixyIlgm9BHs
El Paso Sobre,hecho,Una pierna,Estabilidad,Ninguno,Glúteos Cuádriceps,Quadriceps,Múltiple,"Movimiento se inicia alternando pasos, girando la cadera, hacia afuera y",https://www.youtube.com/watch?v=D2SLKcvBZVw
Stone to Shoulder,re-film,Flexión,Carga externa,Piedra,"Atlas Isquiotibiales, Glúteos, Cuádriceps","Hamstrings, Glutes, Quadriceps",Sagital,"Bíceps inicia flexionando las caderas, flexionando las rodillas, manteniendo la espalda",https://www.youtube.com/watch?v=LakxKWapzm4
Superman Arrestado en Split,re-film,Núcleo,Peso corporal,Ninguno,"Erector de la columna, Escápulas, GlúteosHombros, Isquiotibiales",", Trapecio",Transversal,"Movimiento inicia apretando los glúteos, levantando la cabeza, el pecho y los pies del suelo, y sostener durante el tiempo establecido. La posición de glúteos en straddle comienza tumbado boca abajo con el pecho en la parte superior de una caja de pliometría y las piernas colgando, caderas flexionadas, pies en contacto con el suelo y ambas manos cruzadas frente a la caja para apoyo Sostén de glúteos en straddle reanudar Films Núcleo Peso corporal Caja pliométrica Erector de la columna, glúteos, isquiotibiales, deltoides anteriores Sagital",https://www.youtube.com/watch?v=UtRSnxFFxqg
Split,re-film,Núcleo,Peso corporal,Ninguno,"Erector de la columna, Escápulas, GlúteosHombros","Isquiotibiales, Trapecio Transversal grados, y ambas manos detrás de la cabeza, codos abiertos hacia un lado. https://www.youtube.com/watch?v=UtRSnxFFxqg El movimiento inicia apretando los glúteos, levantando la cabeza, el pecho y los pies del suelo, y sostener durante el tiempo establecido. La posición de glúteos en straddle comienza tumbado boca abajo con el pecho en la parte superior de una caja de pliometría y las piernas colgando, caderas flexionadas, pies en contacto con el suelo y ambas manos cruzadas frente a la caja para apoyo Sostén de glúteos en straddle reanudar Films Núcleo Peso corporal Caja pliométrica Erector de la columna, glúteos, isquiotibiales, deltoides anteriores",Sagital,"Contrapeso. El movimiento inicia levantando las piernas, apretando los glúteos y manteniéndose aproximadamente paralelos para el prescrito Ejercicio Estado Patrón Tipo Implementación Principal Músculos Primarios Trabajados Músculos Secundarios Trabajados Plano Explicación del Ejercicio URL de YouTube La Rotación Rusa con Kettlebell de Brazo Recto comienza sentada en el suelo con",https://www.youtube.com/watch?v=JfJPwDmzyKM
Rotación Rusa con Kettlebell de Brazo Recto,hecho,Núcleo,Carga externa,Kettlebell,"Transverso Deltoides del abdomen, Anterior Oblicuos, Glúteos una columna erguida, rodillas flexionadas, pies en contacto con el suelo y una Transverso kettlebell pegado al cuerpo. El movimiento se inicia al",,,"KXgofEAxY empujar el kettlebell hacia la extensión, delante del cuerpo, elevando",https://www.youtube.com/watch?v=R
Marcha de Puente de Cadera con Pierna Recta,hecho,Núcleo,Peso corporal,Caja pliométrica,"Glúteos, Erector de la columna, Isquiotibiales",Cuádriceps,Sagital,"Través del banco y las caderas hacia la extensión, manteniendo el puente posición, luego flexionando una",https://www.youtube.com/watch?v=SfxiYTdSPgM
Rotación Rusa con Kettlebell de Pierna Recta,hecho,Núcleo,Carga externa,Kettlebell,"Transverso Deltoides del abdomen, Anterior Oblicuos","Glúteos, Isquiotibiales Transverso una columna recta, rodillas rectas, pies en contacto con el suelo y una kettlebell pegado al cuerpo. El movimiento se inicia al elevando los talones desde el suelo, manteniendo las piernas rectas y",,Girando a través del tronco y alcanzando,https://www.youtube.com/watch?v=wO0ybO1qPrg
Sit-Up Anclado Fijo,hecho,Núcleo,Peso corporal,Mancuernas,"Recto Abdominal Flexor de cadera,",Psoas,Sagital,"Sentando el pecho hacia las rodillas, luego extendiéndose de vuelta a la supino, configurar po",https://www.youtube.com/watch?v=F56ixR54w68
Butterfly Chest to Bar,hecho,Jalar,Peso corporal,barra de dominadas,"Dorsal ancho, Bíceps Recto Abdominal, Erector de l",a Espina,Sagital,"Barra, recibiendo la barra en una posición hueca (la cabeza detrás de las manos,",https://www.youtube.com/watch?v=bXZh9au4Mx8
Push-up de parada de manos estricto,re-film,Empuje,Peso corporal,Pared,"Deltoides anteriores, Tríceps Pectoral menor, Trapecio, Escápulas",,Sagital,"Hmg el movimiento inicia golpeando hacia la pared hasta la posición invertida (articulación de la cadera, flexión de la cintura, extiende las manos hacia el suelo, brazos",https://www.youtube.com/watch?v=Y5bm2s
Elevación de piernas colgando estricta,hecho,Núcleo,Peso corporal,Barra de dominadas,"Flexores de cadera, Recto Abdominal Dorsal ancho, Bíceps",", Glúteos",Sagital,"Barra de arriba, recibiendo la barra con las manos justo fuera de los hombros en una",https://www.youtube.com/watch?v=z1oF36cdb4w
Knee to Elbow colgante estricto,hecho,Núcleo,Peso corporal,Barra de dominadas,"Flexores de cadera, Recto abdominal Dorsal ancho, Bíceps",", Glúteos",Sagital,"Barra superior, recibiendo la barra con las manos justo fuera de los hombros en un agarre a doble pronación",https://www.youtube.com/watch?v=jR1I03aEb1g
Knee to Tricep colgante estricto,hecho,Núcleo,Peso corporal,Barra de dominadas,"Flexores de cadera, Recto abdominal Dorsal ancho, Bíceps, Glúteos",,Sagital,"IZq7lXQ barra superior, recibiendo la barra con las manos justo fuera de los hombros en un agarre a doble pronación",https://www.youtube.com/watch?v=GPD
Muscle-Up estricto,re-film,Complejo,Peso corporal,Aros,"Dorsal ancho, Bíceps Escapulares, Pectora","l Mayor, Tríceps",Sagital,"Aros, recibiendo los aros en un agarre falso ( nudillos through the ring) y colgando en extensión, con los brazos largos. Luego flexionando en los codos, tirando",https://www.youtube.com/watch?v=721soPhMhs8
Press estricto,re-film,Empujar,Carga externa,Barra,"Deltoides anterior, Tríceps Trapecio,",Pectoral menor,Sagital,"Braceando el core y empujando la barra por encima de la cabeza, hacia la extensión, terminando con los bíceps junto a las orejas y las muñecas apiladas verticalmente",https://www.youtube.com/watch?v=uPhkTOQ4wek
Pull-up pronado detrás del cuello estricto,re-film,Jalar,Peso corporal,Barra de dominadas,"Dorsal ancho Núcleo, Bíceps",", Escapulares",Sagital,"Fuera de los hombros, en un agarre a doble pronación. Luego tirando hacia abajo y hacia atrás en El ,",https://www.youtube.com/watch?v=xDZ38NvRcBY
Dominada con pronación estricta,re-film,Jalar,Peso corporal,Barra de dominadas,"Latísimo dorsal, Bíceps Escapulares",Scapulars,Sagital,"Manos, la caja torácica metida hacia la pelvis y los dedos de los pies por delante de las caderas) con el Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=7ht8tmdAyqw
Burpee con flexión estricta,hecho,Complejo,Peso corporal,Ninguno,"Recto abdominal, cuádriceps, Glúteos, isquiotibiales, Deltoides anteriores, pectora",l Gastrocnemio,Sagital,"Suelo frente al cuerpo, manteniendo los brazos extendidos, saltando los",https://www.youtube.com/watch?v=yeafo1CIWMg
Fondo estricto en anillas regrabar,,Empuje,Peso corporal,Anillas,"Pectoral mayor, deltoides anteriores Tríceps",Triceps,Sagital,Hombro y controlando el pecho hacia abajo y ligeramente hacia adelante en,https://www.youtube.com/watch?v=4X9fFSTMDJ4
Elevación estricta de pierna,hecho,Núcleo,Peso corporal,Barra de dominadas,"Flexores de cadera, recto abdominal, Dorsal ancho","bíceps, Cuádriceps Isquiotibiales con los pies debajo de las caderas, el peso en la parte media del pie y",Sagital,Recibiendo la barra con las manos justo fuera de los hombros en un,https://www.youtube.com/watch?v=E9bZ2deHyP0
Strict Toe to Bar,hecho,Núcleo,Peso corporal,Barra de dominadas,"Flexores de cadera, recto abdominal","Dorsal ancho, bíceps, Cuádriceps Isquiotibiales con los pies debajo de las caderas, el peso en la parte media del pie y Sagital brazos a los lados. El movimiento inicia saltando a la barra de dominadashttps://www.youtube.com/watch?v=E9bZ2deHyP0 recibiendo la barra con las manos justo fuera de los hombros en un agarre doble prono, El Toes to Bar estricto comienza de pie debajo de la barra de dominadas, con los pies debajo de las caderas, el peso en la parte media del pie y los brazos abajo Toes to Bar estricto regrabar Núcleo Peso corporal Barra de dominadas Recto abdominal, flexores de cadera Dorsal ancho, cuádriceps",Sagital,"Recibiendo la barra con las manos justo fuera de los hombros en un agarre doble prono, manteniendo los",https://www.youtube.com/watch?v=6l5B35GtoJg
Toes to Bar estricto regrabar,,Núcleo,Peso corporal,Barra de dominadas,"Recto abdominal, flexores de cadera Dorsal ancho, cuádriceps Sagital a","los lados. El movimiento inicia saltando a la barra de dominadas, https://www.youtube.com/watch?v=6l5B35GtoJg recibiendo la barra con las manos justo fuera de los hombros en un agarre doble prono, manteniendo los El Toes Through Rings estricto comienza de pie debajo de las Dedos de los pies estrictos a través de anillos reeditar Núcleo Propio peso Anillos Flexores de cadera, recto abdominal, Dorsal ancho, bíceps, Cuádriceps Isquiotibiales anillas de gimnasia, con los pies debajo de las caderas, el peso en la parte media",Sagital,"Hasta los anillos, recibiendo los anillos con un agarre neutro, manteniendo los brazos",https://www.youtube.com/watch?v=PrL7m43WCTE
Flexión de pino de pared estricta de cara a la pared,re-film,Empujar,Propio peso,Pared,"Deltoides Trapecio anteriores, Tríceps, Deltoides posteriores",Rear Deltoids,Sagital,"Manos hacia atrás hasta alcanzar la posición invertida (de cara a la pared), con piernas rectas,",https://www.youtube.com/watch?v=Dd4uflLAlw0
Pull-Up Subescapular,re-film,Jalar,Propio peso,Barra de dominadas,"Dorsal ancho, Bíceps Escápulas, Rect",o Abdominis,Sagital,"Llevando la barbilla por encima de la barra, luego haciendo una pausa, empujando la cabeza y pecho lejos de la barra hacia una posición de palanca, extendiendo el el",https://www.youtube.com/watch?v=gFcNeNhu0VM
Pull-Up Subescapular negativa,re-film,Jalar,Propio peso,Barra de dominadas,"Dorsal ancho, Bíceps Escápulas, Rect",o Abdominis,Sagital,"Dominada, empujando la cabeza y el pecho lejos de la barra hacia una posición de palanca posición",https://www.youtube.com/watch?v=GJ2pqbawf5Y
Porteo de maletín,re-film,Locomoción,Carga externa,Barra,"Dorsal ancho, Trapecio, Antebrazos, Deltoides anteriores Cuádriceps, Erector de la column","a Isquiotibiales, Glúteos,",Sagital,"Movimiento inicia tensando el core, resistiendo la flexión lateral (lado",https://www.youtube.com/watch?v=P6QN472jxUE
UE el movimiento,,Core,Carga externa,Barra,"Dorsal Antebrazos, ancho, deltoides trapecio, anteriores Cuádriceps,","Erectores espinales isquiotibiales, glúteos,",Sagital,"Barra cargada, lateral al cuerpo, con agarre neutro.",https://www.youtube.com/watch?v=b72FEx6GLUg
Sentadilla ciclista con mancuerna tipo maleta,hecho,Sentadilla,Carga externa,Mancuerna,"Cuádriceps, glúteos, flexores de cadera Isquiotibiales,","Trapecio recto abdominal,",Sagital,Sosteniendo un par de mancuernas.,https://www.youtube.com/watch?v=6Odkbnp-WrI
Suitcase Rear Foot Elevated Kettlebell Split Squat,hecho,Una pierna,Carga externa,Kettlebell,"Cuádriceps, glúteos, flexores de cadera Isquiotibiales,","Trapecio recto abdominal,",Sagital,"Rodilla, peso en la parte media del pie, y ambos brazos a los lados,",https://www.youtube.com/watch?v=-Pj6wHdwB7A
Sentadilla dividida tipo maleta,hecho,Una pierna,Carga externa,Kettlebell,"Cuádriceps, glúteos, flexores de cadera Isquiotibiales,","Trapecio recto abdominal,",Sagital,"Ambos brazos a los lados, sosteniendo una sola mancuerna en la mano",https://www.youtube.com/watch?v=7EziKna25lU
La zancada caminando tipo maleta,hecho,Una pierna,Carga externa,Mancuerna,"Cuádriceps, glúteos, flexores de cadera Isquiotibiales,","Trapecio recto abdominal,",Sagital,"Movimiento inicia dando un paso con un pie adelantado respecto a la cadera,",https://www.youtube.com/watch?v=jrTAPRwDAZs
Sumo Air Squat,hecho,Sentadilla,Peso corporal,Ninguno,"Cuádriceps, glúteos, aductores Flexores de cadera,",isquiotibiales,Sagital,"Caderas hacia atrás y hacia abajo hasta estar aproximadamente paralelas o por debajo de ella, luego extendiendo las",https://www.youtube.com/watch?v=bFJ9uHP-Tmo
Peso Muerto Sumo,re-film,Doblar,Carga externa,Barra,"Isquiotibiales, Erector de la Columna, Cuádriceps Adductores,",Latísimo dorsal,Sagital,"Los talones a través del suelo, manteniendo las escápulas hacia atrás y abajo, y Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=q4iR6UTFw-o
Arranque de peso muerto sumo alto,re-film,Doblar,Carga externa,Barra,"Isquiotibiales, Erector de la columna, Aductores, Cuádriceps, Trapeci","o Bíceps Latissimo Dorsi,",Sagital,"Los talones a través del suelo, manteniendo los omóplatos retraídos y d",https://www.youtube.com/watch?v=96LYzIm8Pz0
Sumo Goodmorning,hecho,Doblar,Carga externa,Barra,"Isquiotibiales, Abdominales Glúteos, Recto Erectores espinales fuera de las caderas","peso en los talones, y una barra en la rejilla de espalda",Sagital,"Agarrar. El movimiento se inicia flexionando las caderas, con flexión suave en las rodillas, manteniendo el peso Peso muerto sumo con kettlebell comienza de pie recto con una base amplia, pies fuera de las caderas, peso en los talones y una kettlebell entre Peso muerto sumo con kettlebell",https://www.youtube.com/watch?v=jTNe-ZZUMeY
Peso muerto sumo con kettlebell,re-film,Doblar,Carga externa,Kettlebell,"Isquiotibiales, Erector de la columna, Cuádriceps Aductores, Latissimu",s Dorsi,Sagital,"Agarre por encima, bajando las caderas, levantando el pecho, manteniendo el espalda plana y",https://www.youtube.com/watch?v=3lVA-pvV6fg
Sentadilla sumo,hecho,Sentadilla,Peso corporal,Ninguno,"Cuádriceps, Glúteos, Aductores Flexores de cadera,",Isquiotibiales,Sagital,"Caderas hacia atrás y abajo hasta justo a la paralelo o por debajo, para luego extender",https://www.youtube.com/watch?v=sEviwjy7k-w
Caminata de plancha con postura de sumo,hecho,Empuje,Peso corporal,Ninguno,"Cuádriceps, Tríceps Deltoides anteriores Recto abdominal, glúteos,",pectorales,Sagital,"Llevando el pecho al suelo y las manos al piso, justo delante de",https://www.youtube.com/watch?v=d2v13DgAeOM
Empuje con banda en supinación,hecho,Empuje,Carga externa,Banda,"Tríceps Deltoides anteriores,",bíceps,Sagital,"Grados, frente a la cadera, sujetando una mano atada a la barra de dominadas con un agarre en supinación.",https://www.youtube.com/watch?v=vHf0fVqO-W4
Remo con banda en supinación,hecho,Jalón,Carga externa,Banda,"Dorsal ancho, bíceps Romboides,",trapecio,Sagital,"Atada al rack aproximadamente a la altura del pecho, en un",https://www.youtube.com/watch?v=urPZtLMy8so
